"KNOT","A","B1","B2","B3","SEX","AGE","PERCENTILE","CHART"
83,11.2,0.241,-0.000603,4.81e-05,"F","2-10 years",50,"wt x ht"
111,18.6,0.321,0.00344,0.000132,"F","2-10 years",50,"wt x ht"
83,11.9,0.289,-0.00297,9.39e-05,"F","2-10 years",75,"wt x ht"
111,19.8,0.344,0.00492,0.000186,"F","2-10 years",75,"wt x ht"
83,12.3,0.386,-0.0077,0.00018,"F","2-10 years",90,"wt x ht"
111,21,0.379,0.00743,0.000177,"F","2-10 years",90,"wt x ht"
83,12.3,0.517,-0.0136,0.000268,"F","2-10 years",95,"wt x ht"
111,22,0.385,0.00891,0.000255,"F","2-10 years",95,"wt x ht"
85,10.8,0.141,0.00299,-9.2e-08,"M","2-11.5 years",5,"wt x ht"
115,17.7,0.32,0.00298,3.36e-05,"M","2-11.5 years",5,"wt x ht"
85,10.9,0.157,0.00274,3.16e-06,"M","2-11.5 years",10,"wt x ht"
115,18.2,0.33,0.00303,3.88e-05,"M","2-11.5 years",10,"wt x ht"
85,11.4,0.192,0.00216,5.52e-06,"M","2-11.5 years",25,"wt x ht"
115,19.2,0.336,0.00266,8.53e-05,"M","2-11.5 years",25,"wt x ht"
85,12.1,0.21,0.00199,8.55e-06,"M","2-11.5 years",50,"wt x ht"
115,20.4,0.352,0.00276,0.00013,"M","2-11.5 years",50,"wt x ht"
85,13,0.217,0.00161,2.67e-05,"M","2-11.5 years",75,"wt x ht"
115,21.7,0.386,0.00401,0.000134,"M","2-11.5 years",75,"wt x ht"
85,13.1,0.401,-0.00902,0.000214,"M","2-11.5 years",90,"wt x ht"
115,22.8,0.437,0.0102,-3.17e-05,"M","2-11.5 years",90,"wt x ht"
85,13.3,0.461,-0.0106,0.000234,"M","2-11.5 years",95,"wt x ht"
115,23.8,0.454,0.0104,7.33e-05,"M","2-11.5 years",95,"wt x ht"
