cycle,converged,status,neg2ll,nspp,gamlam.0,ka.mean,ka.median,ka.sd,ke.mean,ke.median,ke.sd,v.mean,v.median,v.sd,tlag1.mean,tlag1.median,tlag1.sd
74,false,Continue,441.87162259633885,20,2.42017,0.6885332202911376,0.7295444297790528,0.048247166966760846,0.050045327774286275,0.05116041951179505,0.00024745438430571527,77.64623029232025,71.64368534088135,713.2225353581571,1.519663348197937,1.092204761505127,1.4068140846699677
75,false,Continue,441.830355758324,19,2.42017,0.6865010000530042,0.7319434547424317,0.05084037795065946,0.04963962370345468,0.045901044511795046,0.00025772705002414685,78.92608813235634,74.35213279724121,721.1121525931594,1.4381263331363074,1.0899908065795898,1.3446177430649133
76,false,Continue,441.8211214446498,19,2.42017,0.6862378421582672,0.7271454048156739,0.050816447931972326,0.04960705791398099,0.045901044511795046,0.0002564270725028779,78.92608813235634,74.35213279724121,721.1121525931594,1.4381263331363074,1.0899908065795898,1.3446177430649133
77,false,Continue,441.788861128499,20,2.42017,0.6880332202911377,0.7271454048156739,0.0482064719831279,0.050014390274286266,0.05116041951179505,0.00024624930382723755,77.67435529232026,71.64368534088135,717.9193594455948,1.519663348197937,1.092204761505127,1.4068140846699677
78,false,Continue,441.776521614089,20,2.42017,0.6877832202911376,0.7271454048156739,0.04818987449131143,0.050014390274286266,0.05116041951179505,0.00024624930382723755,77.70248029232025,71.64368534088135,719.950756298107,1.519663348197937,1.092204761505127,1.4068140846699677
79,false,Continue,441.76811112833724,20,2.42017,0.6877832202911376,0.7271454048156739,0.04818987449131143,0.04998345277428628,0.05116041951179505,0.0002450825085050099,77.70248029232025,71.64368534088135,719.950756298107,1.519663348197937,1.092204761505127,1.4068140846699677
80,false,Continue,441.74111266297376,19,2.42017,0.6857115263687936,0.7271454048156739,0.05077648263144022,0.04957449212450731,0.045901044511795046,0.00025516739514608257,79.01490392183003,74.35213279724121,727.304519623761,1.4381263331363074,1.0899908065795898,1.3446177430649133
81,false,Continue,441.7327890115023,20,2.42017,0.6877832202911376,0.7271454048156739,0.04818987449131143,0.04998345277428628,0.05116041951179505,0.0002450825085050099,77.75873029232025,71.64368534088135,724.1084718781312,1.519663348197937,1.092204761505127,1.4068140846699677
82,false,Continue,441.72277214616594,19,2.42017,0.6857115263687936,0.7271454048156739,0.05077648263144022,0.04954192633503362,0.045901044511795046,0.000253948017953761,79.04450918498792,74.35213279724121,729.4352538094004,1.4381263331363074,1.0899908065795898,1.3446177430649133
83,false,Continue,441.69766235813637,19,2.42017,0.6857115263687936,0.7271454048156739,0.05077648263144022,0.04954192633503362,0.045901044511795046,0.000253948017953761,79.07411444814582,74.35213279724121,731.599293916092,1.4381263331363074,1.0899908065795898,1.3446177430649133
84,false,Continue,441.6908344548968,19,2.42017,0.6857115263687936,0.7271454048156739,0.05077648263144022,0.04954192633503362,0.045901044511795046,0.000253948017953761,79.10371971130371,74.35213279724121,733.7966399438363,1.4381263331363074,1.0899908065795898,1.3446177430649133
85,false,Continue,441.6799168496004,20,2.42017,0.6877832202911376,0.7271454048156739,0.04818987449131143,0.04992157777428628,0.05116041951179505,0.0002428637733293046,77.81498029232026,71.64368534088135,728.3927499581553,1.519663348197937,1.092204761505127,1.4068140846699677
86,false,Continue,441.6559341216289,20,2.42017,0.6877832202911376,0.7271454048156739,0.04818987449131143,0.04992157777428628,0.05116041951179505,0.0002428637733293046,77.84310529232025,71.64368534088135,730.5823499356675,1.519663348197937,1.092204761505127,1.4068140846699677
87,false,Continue,441.64986579198245,19,2.42017,0.6857115263687936,0.7271454048156739,0.05077648263144022,0.04950936054555994,0.045901044511795046,0.00025276894092591314,79.1629302376195,74.35213279724121,738.2912497624833,1.4381263331363074,1.0899908065795898,1.3446177430649133
88,false,Continue,441.64108720676467,19,2.42017,0.6857115263687936,0.7271454048156739,0.05077648263144022,0.049476794756086254,0.045901044511795046,0.000251630164062539,79.1629302376195,74.35213279724121,738.2912497624833,1.4381263331363074,1.0899908065795898,1.3446177430649133
89,false,Continue,441.61753778405284,19,2.42017,0.6857115263687936,0.7271454048156739,0.05077648263144022,0.049476794756086254,0.045901044511795046,0.000251630164062539,79.1925355007774,74.35213279724121,740.5885135533856,1.4381263331363074,1.0899908065795898,1.3446177430649133
90,false,Continue,441.6115583677352,20,2.42017,0.6877832202911376,0.7271454048156739,0.04818987449131143,0.049890640274286274,0.05116041951179505,0.000241811833475827,77.92748029232025,71.64368534088135,737.3409936182038,1.519663348197937,1.092204761505127,1.4068140846699677
91,false,Continue,441.60493356308393,19,2.42017,0.6857115263687936,0.7271454048156739,0.05077648263144022,0.049444228966612574,0.045901044511795046,0.0002505316873636384,79.22214076393529,74.35213279724121,742.9190832653408,1.4381263331363074,1.0899908065795898,1.3446177430649133
92,false,Continue,441.58112455428505,19,2.42017,0.6857115263687936,0.7271454048156739,0.05077648263144022,0.049444228966612574,0.045901044511795046,0.0002505316873636384,79.25174602709319,74.35213279724121,745.2829588983482,1.4381263331363074,1.0899908065795898,1.3446177430649133
93,false,Continue,441.57456387648256,20,2.42017,0.6877832202911376,0.7271454048156739,0.04818987449131143,0.04985970277428628,0.05116041951179505,0.0002407981787785995,77.98373029232025,71.64368534088135,742.004959198228,1.519663348197937,1.092204761505127,1.4068140846699677
94,false,Continue,441.57173774930976,20,2.42017,0.6877832202911376,0.7271454048156739,0.04818987449131143,0.04982876527428627,0.05116041951179505,0.00023982280923762181,77.98373029232025,71.64368534088135,742.004959198228,1.519663348197937,1.092204761505127,1.4068140846699677
95,false,Continue,441.5469751324225,20,2.42017,0.6877832202911376,0.7271454048156739,0.04818987449131143,0.04982876527428627,0.05116041951179505,0.00023982280923762181,78.01185529232025,71.64368534088135,744.38440292574,1.519663348197937,1.092204761505127,1.4068140846699677
96,false,Continue,441.53916117104774,19,2.42017,0.6857115263687936,0.7271454048156739,0.05077648263144022,0.04941166317713888,0.045901044511795046,0.00024947351082921156,79.34056181656688,74.35213279724121,752.5744213236869,1.4381263331363074,1.0899908065795898,1.3446177430649133
97,false,Continue,441.53916117104774,19,2.42017,0.6857115263687936,0.7271454048156739,0.05077648263144022,0.04941166317713888,0.045901044511795046,0.00024947351082921156,79.34056181656688,74.35213279724121,752.5744213236869,1.4381263331363074,1.0899908065795898,1.3446177430649133
98,false,Continue,441.32614125557876,20,2.42017,0.6964818773269653,0.7373357200622559,0.0504453243359886,0.04861163929104805,0.045591669511795045,0.0002503226115702494,79.09114036560058,74.49275779724121,719.1323112128691,1.4663445568084716,1.0984547615051268,1.2872451722523792
99,false,Continue,441.1135907878682,18,2.42017,0.6835485331217447,0.7360857200622559,0.053794588654477914,0.048965403902530666,0.045282294511795045,0.0002634658458211511,80.77002739906311,74.49275779724121,762.7584450052346,1.3482240941789414,0.9819187164306641,1.2668628466994816
100,false,Stop: MaxCycles,440.9853195434643,19,2.39029,0.6855799474214253,0.7271454048156739,0.050763991650076105,0.04941166317713889,0.045591669511795045,0.0002523803983156396,79.32575918498792,74.35213279724121,765.1407046794969,1.4381263331363079,1.094418716430664,1.347351060943425
